-arvoinen	-arvoidnen
juovdâđ	juovdat
juovlah	juovlat
juovlâ-	juovla-
juovlâlähji	juovlaláhji
juovlâskeŋkkâ	juovlaskeŋhkka
juovlâáptu	juovlaáktu
juovvân	juovvan
juovâdiđ	juovadit
juovâččem	juovahččen
juovâččiđ	juovahččit
juoŋâdiđ	juoŋadit
juoŋâstiđ	juoŋastit
jurbâd	jurbat
jurbâsmiđ	jurbasmit
jurbâsyeini	jurbasuoidni
jurdeliđ	jurdelit
jurdeđ	jurdet
jurdijdiđ	jurddjdit
jurdâččiđ	jurdahččit
jurgâliđ	jurgalit
jurgâlâttâđ	jurgaladtat
jurmâliđ	jurbmalit
jurmâstiđ	jurbmastit
jurrâmâš	jurramaš
jursseđ	jursset
jurâdiđ	juradit
jussiđ	jussit
justuđ	justut
juttuđ	juhttut
jutâliđ	jutalit
juucâ	juca
juudalâš	judalaš
juuhâ	juha
juuhâđ	juhat
juullân	jullan
juullâđ	jullat
juulâ	jula
juulâs	julas
juummân	jupman
juumâ	juma
juurbâs	jurbas
juurdâ	jurda
juurdâpuáđus	jurdaboađus
juurrân	jurran
juurrâđ	jurrat
juurâ	jura
juuvdálâš	juvdálaš
juvâtteijee	juvadtedjei
juvâttiđ	juvadtit
juáhhást	joahhást
juáhu	joahu
juáhuđ	joahut
juáháš	joaháš
juáigus	joaigus
juálgálâš	joalgálaš
juálgán	joalgán
juálgáá	joalgá
juálooh	joalot
juárbudekes	joarbudekes
juárbudeves	joarbudeves
juárbuđ	joarbut
juármáá	joarbmá
juáráduh	joarádut
juárŋi	joarŋi
juátkiđ	joatgit
juávkku	joavhkku
juávviđ	joavvit
juŋkká	juŋhkká
juŋâttuđ	juŋadtut
juŋŋâ	juŋŋa
juškeđ	juiket
jyehi	juohi
jyehiliđ	juohilit
jyehim	juohin
jyehimuáđusâš	juohimoađusaš
jyehipiäiválâš	juohipeaiválaš
jyehipiäiváš	juohipeaiváš
jyehitovvááš	juohitovváš
jyehivuođâst	juohivuođast
jyehiđ	juohit
jyelediđ	juoledit
jyelgi	juolgi
jyelgikeeči	juolgikeači
jyelgimuorâ	juolgimuora
jyelgipeeli	juolgipeali
jyelgipelgi	juolgipelgi
jyelgipärni	juolgipárni
jyelgirâš	juolgiraš
jyelgisuormâ	juolgisuorbma
jyelgittem	juolgihtten
jyelgittuđ	juolgihttut
jyelgičuijooh	juolgičudjot
jyemeehpeeli	juomeahbeali
jyemehâš	juomehaš
jyevdil	juovdil
jyevdilistiđ	juovdilistit
jyevdilâs	juovdilas
jyevdiv	juovdiv
jyevdivâššâđ	juovdivaššat
já	já
jáháttâllâđ	jáháhttallat
jáldu	jáldu
jámálgiđ	jámálgit
jámálgâddâđ	jámálgaddat
jándur	jándur
jávkuttâh	jávkuhttat
jávrádâh	jávrádat
jávuttem	jávuhtten
jávuttemesvuotâ	jávuhttemesvuota
jávuttuttiđ	jávuhttuhttit
jávvu-	jávvu-
jáválduđ	jáváldut
jáá	já
jááldus	jáldus
jáámmám	jápmán
jáávuh	jávut
jähittiđ	jáhihttit
jämihánnáá	jámihádná
jämimettum	jámimehttun
jämittiđ	jámihttit
jämmee	jápmei
järdiđ	járdit
jävildiđ	jávildit
jävilduđ	jávildut
jäviljergâ	jáviljerga
jävkittiđ	jávkihttit
jäämmim	jápmin
jäämmimtavdâ	jápmimdavda
jäämmiđ	jápmit
jäävvil	jávvil
jäävvilluđ	jávvillut
jäävvilttuđ	jávvilhttut
kaaggâin	gággaidn
kaaljâ	gálja
kaamâ	gáma
kaasi	gási
kaastâ	gásta
kaattâđ	gáhttat
kaatâ	gáta
kaavhâd	gávhat
kaavâ	gáva
kacceđ	gahccet
kaggâ	gagga
kaggâsiđ	gaggasit
kaggâđ	gaggat
kagâttiđ	gagadtit
kahanuđ	gahanut
kahcii	gahci
kahheeđ	gahheat
kahvel	gahvel
kaiccâ	gaihcca
kaiccâlääbis	gaihccalábis
kaidâđ	gaidat
kaimârig	gaimarit
kaivađ	gaivat
kaivâstiđ	gaivastit
kaivâsâddâđ	gaivasaddat
kakkiđ	gahkkit
kakkârâs	gahkkaras
kal	gal
kalaallit nunaatlâš	galállit nunátlaš
kalanâm	galanan
kalanâttâđ	galanadtat
kale	gali
kale nuárvuinjuuneest-uv almai puátá	gale noarvuidnjuneast-uv albmai poatá
kalehân	galehan
kales	gales
kalgodiđ	galgodit
kalgâđ	galgat
kalje	galji
kalkkâ	galhkka
kalmaattiđ	galbmáhttit
kalmadittiđ	galbmadihttit
kalmadâh	galbmadat
kalmattâh	galbmahttat
kalmettiđ	galbmehttit
kalmeđ	galbmet
kalveđ suvle	galveđ suvli
kalvâđ	galvat
kalšâd	galšat
kammâgâš	gapmagaš
kamuvnjune	gamuvdnjuni
kamuvčeppi	gamuvčehppi
kamâdâttâđ	gamadadtat
kamâspiddonjälmi	gamaspiddonjálbmi
kamâttiđ	gamadtit
kanava	ganava
kandâ	ganda
kannattiđ	gadnahttit
kannu	gadnu
kansaškovlâ	gansaikovla
kapitaal	gapitál
kappeer	gahppear
kappeerkyeppir	gahppearkuohppir
kappeerloccâ	gahppearlohcca
kapteen	gaktean
kapšattiđ	gapšahttit
karbuđ	garbut
karbâđ	garbat
kardeđ	gardet
kardin	gardidn
karodiđ	garodit
karodâs	garodas
karottâs	garohttas
karreeđ	garreat
karrii	garri
karttâđ	garhttat
karveđ	garvet
kasašiđ	gasašit
kaskoo	gasko
kaso	gaso
kasodiđ	gasodit
kasodâh	gasodat
kasosâš	gasosaš
kassa	gassa
kasseet	gasseat
kassâ	gassa
kastik	gastik
kastâdiđ	gastadit
kastâdâttâđ	gastadadtat
kastâđ	gastat
kaulur	gaulur
kaverdiđ	gaverdit
kavkker	gavhkker
kavkkâđ	gavhkkat
kavnuđ	gavdnut
kavnâttâttâđ	gavdnadtadtat
kavnâđ	gavdnat
kavnâđâttâđ	gavdnađadtat
kavra	gavra
kavraa	gavrá
kavreluttiđ	gavreluhttit
kavreluđ	gavrelut
kavrođ	gavrot
kavŋiđ	gavŋit
kazerdiđ	gazerdit
kačâdiđ	gačadit
kačâttiđ	gačadtit
kaččâlittiđ	gahččalihttit
kaččâliđ	gahččalit
kaččâđ	gahččat
kađottâs	gađohttas
kađvâdâttâđ	gađvadadtat
kađvâđ	gađvat
kađâdâttâđ	gađadadtat
kađâstiđ	gađastit
kaŋgâ	gaŋga
kaškos	gaikos
kašmârdeijee	gašmardedjei
kašnestuđ	gašnestut
kašneđ	gašnet
keehâđ	geahat
keemmân	geapman
keerriv-	gearriv-
keerrâđ	gearrat
keesi	geasi
keesih	geasit
keessil	geassil
keessiđ	geassit
keevvâđ	geavvat
keevâtlâš	geavadlaš
keevâtlâšvuotâ	geavadlašvuota
keeči	geači
keeđhičevđi	geađhičevđi
keežild	geažilt
kehâdiđ	gehadit
kehârâttâm	geharadtan
kejimield	gejimielt
kejâdiđ	gejadit
kejâstiđ	gejastit
kejâstâllâđ	gejastallat
keldâšum	geldašun
keldâšuđ	geldašut
kelijdiđ	geldjdit
kemijdiđ	gemdjdit
kenigâsvuotâ	genigasvuota
kenski	genski
kepidiđ	gepidit
kerdi	gerdi
kerimâs	gerimas
keriveh	gerivet
kerni	gerni
kerâttuh	geradtut
kesieennâm	gesieadnan
kesihâš	gesihaš
kesijâššâđ	gesdjaššat
kesikume	gesikumi
kesimánusâš	gesimánusaš
kesimáánu	gesimánu
kesipieggâ	gesipiegga
kesipieggâláá	gesipieggalá
kesipiegâmuš	gesipiegamuš
kesiäigi	geseaigi
kessuđ	gessut
ketki	getgi
kevhi	gevhi
kevidâh	gevidat
kevli	gevli
kevlidiđ	gevlidit
kevličuárvi	gevličoarvi
kevttim	gevhttin
kevttimist	gevhttimist
kevttiđ	gevhttit
kevttuđ	gevhttut
kevâttâs	gevadtas
kevâttâttâđ	gevadtadtat
kezidiđ	gezidit
kezzi	gezzi
keččee	gehččei
keččin	gehččidn
keččâlem	gehččalen
keččâlemdiet	gehččalemdiet
keččâlistiđ	gehččalistit
keččâliđ	gehččalit
keččâlâddâđ	gehččaladdat
keččâđ	gehččat
keđgi	geđgi
keš	geš
kicceeđ	gihcceat
kiddejuđ	giddejut
kiddiđ	giddit
kiddâ	gidda
kieddi	gieddi
kieddisyeini	gieddisuoidni
kieggi	gieggi
kiehârâttâm	gieharadtan
kiejâ	gieja
kieldiđ	gieldit
kieldâ	gielda
kieldâgâs	gieldagas
kieldâstivrâ	gieldastivra
kielestiđ	gielestit
kiellâđ	giellat
kielâ	giela
kielâdiđ	gieladit
kielâttuđ	gieladtut
kielâuksâ	gielauksa
kielâuáivi	gielaoaivi
kielâviälgu	gielavealgu
kiemni	giemni
kiemârdiđ	giemardit
kiepâ	giepa
kierdâm	gierdan
kierdâvâš	gierdavaš
kierdâđ	gierdat
kieres	gieres
kiergâd	giergat
kiergâniđ	gierganit
kiergâttiđ	giergadtit
kieskâd	gieskat
kiessuđ	giessut
kiessâđ	giessat
kiesâččiđ	giesahččit
kietkâm	gietgan
kietkâmkuávi	gietgamgoavi
kietkâmläbži	gietgamlábži
kietkâmvuáđu	gietgamvoađu
kietkâmâš	gietgamaš
kietkâđ	gietgat
kietâ	gieta
kietâdâllâđ	gietadallat
kietâpeeli	gietabeali
kietâtyeji	gietaduoji
kievhi	gievhi
kievhuđ	gievhut
kievhâttuđ	gievhadtut
kievjâ	gievja
kievrâ	gievra
kievđâ	gievđa
kievŋis	gievŋis
kieđâlohlááiđuh	gieđalohláiđut
kieđâvuššâđ	gieđavuššat
kieŋŋâl	gieŋŋal
kieškâ	gieika
kieškânjavkke	gieikanjavhkki
kieškâskivŋe	gieikaskivŋi
kihestiđ	gihestit
kiheštiđ	giheitit
kihlođ	gihlot
kihluđ	gihlut
kihtuđ	gihtut
kihtâ	gihta
kihtâlâs	gihtalas
kii	gi
kii tiätá	gi teatá
kiiccâđ	gihccat
kiidâs	gidas
kiijlu	gidjlu
kiijtos	gidjtos
kiijvástuđ	gidjvástut
kiilu	gilu
kiinii	gidni
kiirâs	giras
kiisur	gisur
kiivšád	givšát
kiivšán	givšán
kiivšás	givšás
kijtolâš	gdjtolaš
kijttevâš	gdjhttevaš
kijtto	gdjhtto
kijváskiđ	gdjváskit
kikkárittiđ	gihkkárihttit
kikkâniđ	gihkkanit
kikse	giksi
kilbo	gilbo
kildeđ	gildet
kildásmittiđ	gildásmihttit
killeel	gilleal
killájeijee	gillájedjei
killám	gillán
killáđ	gillát
kilomeetter	gilomeahtter
kilomeettersâš	gilomeahttersaš
kilupeeli	gilupeali
kilášiđ	gilášit
kilšápolvâ	gilšápolva
kincceđ	gidnhccet
kinttâlvuojâ	gidnhttalvuoja
kipo	gipo
kippar	gihppar
kirdee	girdei
kirdeekutkâ	girdeakutga
kirdeliđ	girdelit
kirdemkieddi	girdemgieddi
kirdemmaašin	girdepmášidn
kirdemsajattâh	girdemsajahttat
kirdeđ	girdet
kirje	girji
kirječällee	girječállei
kirjálâš miärádâs	girjálaš mearádas
kirkes	girkes
kirkesvuotâ	girkesvuota
kirkkoeennâm	girhkkoeadnan
kirkkosijdâ	girhkkosdjda
kirkkosundee	girhkkosundei
kirkkoveerdi	girhkkoveardi
kirkveerdi	girkveardi
kirnođ	girnot
kirrâsávt	girrasávt
kirâttiđ	giradtit
kiskeđ	gisket
kissá	gissá
kissákyeli	gissákuoli
kisto	gisto
kistâkkistiđ	gistagkistit
kisákiällu	gisákeallu
kittiđ	gihttit
kivkked	givhkket
kivkker	givhkker
kivkkáá	givhkká
kivriđ	givrit
kivsediđ	givsedit
kizijdiđ	gizdjdit
kiädduđ	geaddut
kiäddááttiđ	geaddáhttit
kiähnu	geahnu
kiäigusjuolgij	geaigusjuolgdj
kiäinu	geaidnu
kiäjus	geajus
kiälbuttem	gealbuhtten
kiälbuttim	gealbuhttin
kiäldulâš	gealdulaš
kiäldálittiđ	gealdálihttit
kiälkká	gealhkká
kiällu	geallu
kiällupuásui	geallupoasui
kiällusyeini	geallusuoidni
kiällár	geallár
kiällâr	geallar
kiälástâllâđ	gealástallat
kiämádâh	geamádat
kiämáidittiđ	geamáidihttit
kiännii	geadni
kiäpu	geapu
kiäpásmittiđ	geapásmihttit
kiärdu	geardu
kiärduttiđ	gearduhttit
kiärdučalme	geardučalbmi
kiärdučuárvi	geardučoarvi
kiärduđ	geardut
kiärgus	geargus
kiärpáš	gearpáš
kiäst	geast
kiästen	geasten
kiästudiđ	geastudit
kiäsu	geasu
kiäsuttiđ	geasuhttit
kiäsádittiđ	geasádihttit
kiäsádâh	geasádat
kiäsáttâh	geasáhttat
kiävhášiđ	geavhášit
kiävrudiđ	geavrudit
kiävruđ	geavrut
kiävttu	geavhttu
kiävtust	geavtust
kiävuliđ	geavulit
kiävulâs	geavulas
kiävvoo	geavvo
kiävvuđ	geavvut
kiävááš	geaváš
kiäzzuđ	geazzut
kiäzzániđ	geazzánit
kiäzášiđ	geazášit
kiäčán	geačán
kiäččá	geahččá
kiđâštiđ	giđaitit
kiđđâ	giđđa
kiđđâluđ	giđđalut
kiđđâláá	giđđalá
kiškodiđ	gikodit
kiškodâttâđ	gikodadtat
kiškođ	gikot
kiškuđ	gikut
kišto	gito
kištodiđ	gitodit
kištottâllâm	gitohttallan
kištottâllâđ	gitohttallat
ko	go
kobbâ	gobba
kobdodâh	gobdodat
kobdođ	gobdot
kobdádâs	gobdádas
kobdániđ	gobdánit
kobdášiđ	gobdášit
koblođ	goblot
kobđođ	gobđot
kocceem	gohccean
kocceeđ	gohcceat
koccoođ	gohccot
koccááttiđ	gohccáhttit
koccáđ	gohccát
kodde	goddi
koddesäplig	goddesáplit
koddeđ	goddet
kodos	godos
koggoon	goggon
kogo	gogo
kohhuđ	gohhut
kohádiđ	gohádit
kohádâttâđ	gohádadtat
kohâstiđ	gohastit
koibâ	goiba
koibâkappeer	goibagahppear
koijâdiđ	godjadit
koistâs	goistas
kojo	gojo
kojâttiđ	gojadtit
kokkiđ	gohkkit
kokkâ	gohkka
kokkâsiđ	gohkkasit
kokkâsâddâđ	gohkkasaddat
kolbâ	golba
koldeđ	goldet
koldâ	golda
kolgee	golgei
kolgodiđ	golgodit
kolgonjäbbi	golgonjábbi
kolgâmuš	golgamuš
kolgâvetteđ	golgavehttet
kolgâđ	golgat
kolkkiistiđ	golhkkistit
kolkkiittuđ	golhkkihttut
kolkkiđ	golhkkit
kollii	golli
kolliistâllâđ	gollistallat
kolliđ	gollit
kolloođ	gollot
kolmum	golbmun
kolmuuttiđ	golbmuhttit
kolmuđ	golbmut
kolmâsvuotâ	golbmasvuota
kolmâšiđ	golbmašit
kolmâštuđ	golbmaitut
kolo	golo
kolottiđ	golohttit
kolšâ	golša
komettiđ	gomehttit
komme	gopmi
komment	gopment
komponent	gomponent
komálâš	gomálaš
komániđ	gománit
konferens	gonferens
konnâ	godna
konsert	gonsert
konttur	gonhttur
koodâs	godas
kooidâs	goidas
kooli	goli
koolmâ	golbma
koolmâs	golbmas
koommâr	gopmar
kooniš	goniš
koori	gori
koorood	gorot
koorrân	gorran
koorrâđ	gorrat
koorâin	goraidn
koorânj	goranj
koorâs	goras
kooskâi	goskai
kooskâst	goskast
kooskâš	goskaš
koozâš	gozaš
koođijn	gođdjn
kope	gopi
koppáristiđ	gohppáristit
koppâ	gohppa
koppâlakke	gohppalahkki
kopsettâttâđ	goksehttadtat
kopseđ	gokset
kopšâđ	gopšat
korccâ	gorhcca
kordâđ	gordat
korgus	gorgus
korguu	gorgu
korgâd	gorgat
korkkâđ	gorhkkat
korottiđ	gorohttit
korppâsâddâđ	gorhppasaddat
korristâllâđ	gorristallat
korriđ	gorrit
korrâ	gorra
korrâdiđ	gorradit
korrâdâššâđ	gorradaššat
korrâpieggâ	gorrabiegga
korrâsávt	gorrasávt
korsâ	gorsa
kortti	gorhtti
korttâ	gorhtta
korttâđ	gorhttat
korâdiđ	goradit
korâšiđ	gorašit
korŋiittâh	gorŋihttat
koržáá	goržá
koskkuálsi	goshkkoalsi
koskohoi	goskohoi
koskokko	goskohkko
koskâ	goska
koskâl	goskal
koskâlumos	goskalumos
koskâm	goskan
koskâmus	goskamus
koskâmustáá	goskamustá
koskân	goskan
koskâstiđ	goskastit
koskâstuvvâi	goskastuvvai
koskâttuvvâi	goskadtuvvai
koskâvuotâ	goskavuota
koskâvuođâ	goskavuođa
koskâđ	goskat
kosostiđ	gosostit
kossuv	gossuv
kossuvvuotâ	gossuvvuota
kossâčalme	gossačalbmi
kost	gost
kosten	gosten
kostnii	gostni
kostâdiđ	gostadit
kostâđ	gostat
kosádiđ	gosádit
kote	goti
kotemuš	gotemuš
kotârittiđ	gotarihttit
kovediđ	govedit
koveráiđu	goveráiđu
kovjâ	govja
kovjâsukkâr	govjasuhkkar
kovli	govli
kovlottiđ	govlohttit
kovolduđ	govoldut
kovoldâh	govoldat
kovoldâs	govoldas
kovvoođ	govvot
kovvârisnjune	govvarisnjuni
kovádâh	govádat
kovâdâs	govadas
kovŋiđ	govŋit
kozzâ	gozza
kozzâmuári	gozzamoari
kozzâsäplig	gozzasáplit
kozzâđ	gozzat
kozzâš	gozzaš
kočodiđ	gočodit
kočâdiđ	gočadit
kočâttiđ	gočadtit
kočâttâh	gočadtat
koččom	gohččon
koččođ	gohččot
koččâđ	gohččat
kođe	gođi
kođos	gođos
kođđeeđ	gođđeat
koškee	goikei
koškeeh	goikeat
koškejuolgij	goikejuolgdj
koškekuolbâ	goikekuolba
koškes	goikes
košknjuš	goiknjuš
koško	goiko
koškádittiđ	goikádihttit
koškáduh	goikádut
koškánjâš	goikánjaš
koškášiđ	goikášit
koškâdiđ	goikadit
koškâliđ	goikalit
koškâđ	goikat
kriittâlâš	grihttalaš
kubduv	gubduv
kublâkkâs	gublagkas
kuccoom	guhccon
kudduđ	guddut
kuddâliđ	guddalit
kufettâr	gufehttar
kuhe	guhi
kuhediđ	guhedit
kuhes	guhes
kuhesperjâdâh	guhesperjadat
kuhesvástuppeivi	guhesvástuhppeivi
kuhheeht	guhheaht
kuhháá	guhhá
kuhháásiähá	guhháseahá
kuhij	guhdj
kuhmáđ	guhmát
kuho	guho
kuhádâs	guhádas
kuhástuđ	guhástut
kuhášiđ	guhášit
kuhâstiđ	guhastit
kuhâstâllâđ	guhastallat
kuhâštiđ	guhaitit
kuikettiđ	guikehttit
kuikkáđ	guihkkát
kuittiđ	guihttit
kuittáđ	guihttát
kuittâg	guihttat
kuiváđ	guivát
kuje	guji
kukke	guhkki
kukken	guhkken
kukkod	guhkkot
kukkodkulij	guhkkodkuldj
kukkosâš	guhkkosaš
kukká	guhkká
kukkâđ	guhkkat
kukse	guksi
kuldâleijee	guldaledjei
kuldâlâddâđ	guldaladdat
kulen	gulen
kulgâđ	gulgat
kullee	gullei
kulluuhâš	gulluhaš
kulluuttiđ	gulluhttit
kulluđ	gullut
kulme	gulbmi
kulmii	gulbmi
kulmááin	gulbmáidn
kulmâ	gulbma
kulnâđ	gulnat
kulostuđ	gulostut
kulottem	gulohtten
kulâttiđ	guladtit
kulŋâđ	gulŋat
kume	gumi
kumisteevvil	gumisteavvil
kumppi	gumhppi
kumâttâs	gumadtas
kundá	gundá
kundáhaldâttâs	gundáhaldadtas
kunniđ	gudnit
kunnjo	gudnjo
kunnâ	gudna
kunnâluđ	gudnalut
kunâgâtâr	gunagadar
kuo	guo
kuoblâ	guobla
kuobžâ	guobža
kuobžâduh	guobžadut
kuobžâluási	guobžaloasi
kuobžâpelji	guobžabelji
kuobžâčevđi	guobžačevđi
kuocijdiđ	guocdjdit
kuocâ	guoca
kuodduustuvvâš	guoddustuvvaš
kuodduustâh	guoddustat
kuodduš	guodduš
kuoddâliđ	guoddalit
kuohtii	guohti
kuohtuuh	guohtut
kuohâstiđ	guohastit
kuohâđ	guohat
kuoimiš	guoimiš
kuoirâs	guoiras
kuoirâđ	guoirat
kuoirâšiđ	guoirašit
kuojâ	guoja
kuokšâd	guokšat
kuolah	guolat
kuolgâ	guolga
kuolgâmiärkkuđ	guolgamearhkkut
kuommâm	guopman
kuomâdiđ	guomadit
kuonâs	guonas
kuoppâđ	guohppat
kuorbâđ	guorbat
kuoro	guoro
kuorriđ	guorrit
kuorrâđ	guorrat
kuorssâđ	guorssat
kuorsâttâh	guorsadtat
kuorâ	guora
kuoskâttiđ	guoskadtit
kuoskâđ	guoskat
kuossiđ	guossit
kuossâđ	guossat
kuostuđ	guostut
kuostâ	guosta
kuostâdiđ	guostadit
kuosâ	guosa
kuovgâd	guovgat
kuovlâliđ	guovlalit
kuovlâđ	guovlat
kuovskistiđ	guovskistit
kuovskâstiđ	guovskastit
kuovtiš	guovtiš
kuovzâđ	guovzat
kuovâdiđ	guovadit
kuovâmáánu	guovamánu
kuovâstiđ	guovastit
kuovđâ	guovđa
kuovđâš	guovđaš
kuođâlduđ	guođaldut
kuođâttiđ	guođadtit
kuođđuđ	guođđut
kuoŋŋuuttiđ	guoŋŋuhttit
kuoškâ	guoika
kuppá	guhppá
kupsuđ	guksut
kupsâđ	guksat
kupâlistiđ	gupalistit
kupâlâs	gupalas
kurdeđ	gurdet
kurgâliđ	gurgalit
kurgâlâs	gurgalas
kurgâlâsnummeer	gurgalasnupmear
kurkku	gurhkku
kurkkâ	gurhkka
kurpostiđ	gurpostit
kurppe	gurhppi
kurppođ	gurhppot
kurppáđ	gurhppát
kurráđ	gurrát
kussâ	gussa
kussâkälbi	gussagálbi
kustoo	gusto
kustâ	gusta
kusâttâh	gusadtat
kutkâ	gutga
kuttii	guhtti
kuttâ	guhtta
kuullâđ	gullat
kuulmâi-kuulmâi	gulbmai-kulbmai
kuulmâs	gulbmas
kuuloold	gulolt
kuumpinjuolâ	gumpidnjuola
kuumpinjuolâs	gumpidnjuolas
kuuppâđ	guhppat
kuus	gus
kuusnii	gusni
kuussân	gussan
kuussâđ	gussat
kuuvl	guvl
kuuđhâš	guđhaš
kuuđâlm	guđalbn
kuuđâs	guđas
kuvdâdiđ	guvdadit
kuvdâđ	guvdat
kuvlân	guvlan
kuvzâđ	guvzat
kuábbáš	goabbáš
kuábás	goabás
kuáddá	goaddá
kuáddámuš	goaddámuš
kuáddániđ	goaddánit
kuádui	goadui
kuádádâh	goadádat
kuáhi	goahi
kuáhin	goahidn
kuáhtáđ	goahtát
kuáhčá	goakčá
kuáivis	goaivis
kuáivu	goaivu
kuáivunjune	goaivunjuni
kuáivuttâh	goaivuhttat
kuáivuđ	goaivut
kuákki	goahkki
kuákkáriđ	goahkkárit
kuákkáđ	goahkkát
kuál	goal
kuálkki	goalhkki
kuálkkiđ	goalhkkit
kuálkkáđ	goalhkkát
kuálláá	goallá
kuálppih	goalhppit
kuálppihâš	goalhppihaš
kuálsi	goalsi
kuálussääni	goalussáni
kuálustiđ	goalustit
kuálásteijee	goalástedjei
kuálástiđ	goalástit
kuálástus	goalástus
kuámmir	goapmir
kuápuliđ	goapulit
kuárdiđ	goardit
kuárgu	goargu
kuárgudiđ	goargudit
kuáridiđ	goaridit
kuárjidiđ	goarjidit
kuárruđ	goarrut
kuárttil	goarhttil
kuáruldâh	goaruldat
kuárus	goarus
kuárusmiđ	goarusmit
kuárváđ	goarvát
kuárádâs	goarádas
kuárániđ	goaránit
kuárŋudiđ	goarŋudit
kuárŋuttiđ	goarŋuhttit
kuás	goas
kuásij	goasdj
kuáski	goaski
kuáskiv	goaskiv
kuáskulâš	goaskulaš
kuásmuđ	goasmut
kuássin	goassidn
kuásti-	goasti-
kuástinjaddeđ	goastidnjaddet
kuástis	goastis
kuástusist	goastusist
kuástuđ	goastut
kuástáá	goastá
kuásán	goasán
kuásástâllâđ	goasástallat
kuáti	goati
kuátipelji	goatipelji
kuáttum	goahttun
kuáttumeennâm	goahttumeadnan
kuáttun	goahttun
kuáttuđ	goahttut
kuáttá	goahttá
kuátu	goatu
kuávdoo	goavdo
kuávdášlâš	goavdášlaš
kuávi	goavi
kuávlu	goavlu
kuávlukielâ	goavlukiela
kuávttáá	goavhttá
kuávttáákooskâl	goavhttákoskal
kuávtáš	goavtáš
kuávváđ	goavvát
kuáđutteijee	goađuhttedjei
kuáđuttiđ	goađuhttit
kuáđuttâh	goađuhttat
kuáđástâllâđ	goađástallat
kuáŋkkáđ	goaŋhkkát
kuččuđ	guhččut
kuđjiđ	guđjit
kuđjo	guđjo
kuš	guš
kuškiidâttâđ	guikidadtat
kuškijdiđ	guikdjdit
kuškiđ	guikit
kuškâdiämááš	guikadeamáš
kuškâdiđ	guikadit
kuškâdâttâđ	guikadadtat
kuškâđ	guikat
kušottiđ	gušohttit
kuššâliđ	guššalit
kužžii	gužži
kvaliteet	gvaliteat
kyecistiđ	guocistit
kyeddee	guoddei
kyeddil	guoddil
kyeddiliđ	guoddilit
kyeddimčääci	guoddimčáci
kyeddiđ	guoddit
kyedittiđ	guodihttit
kyehti	guohti
kyehtin	guohtidn
kyeimi	guoimi
kyekki	guohkki
kyelettem	guolehtten
kyelettuđ	guolehttut
kyeli	guoli
kyelipivdee	guolipivdei
kyelišeigi	guolišeigi
kyeppi	guohppi
kyerdiđ	guordit
kyermi	guorbmi
kyermis	guorbmis
kyessi	guossi
kyessist	guossist
kyestiđ	guostit
kyevdil	guovdil
kyevti	guovti
kyevtikáávnán	guovtikávdnán
kyevtis	guovtis
kyevtpeln	guovtpeln
kyeđđiđ	guođđit
kyeškirčuáimâš	guoikirčoaimaš
káccuđ	gáhccut
kácášiđ	gácášit
káhvástâllâmkooskâst	gáhvástallamgoskast
káhváttuđ	gáhváhttut
káigá	gáigá
káigáá	gáigá
káinulâš	gáidnulaš
káisá	gáisá
káivudâttâđ	gáivudadtat
káivuđ	gáivut
káivádiđ	gáivádit
kákku	gáhkku
kákárâttâđ	gákáradtat
kálgu	gálgu
kálgániđ	gálgánit
kálueenniš	gálueadniš
káluenni	gáluedni
kálvu	gálvu
kálágiđ	gálágit
káláttuh	gáláhttut
kálžá	gálžá
kánnu	gádnu
káppálâh	gáhppálat
kápuluh	gápulut
kárduđ	gárdut
kárgáđ	gárgát
kárvudâttâđ	gárvudadtat
kárvuttiđ	gárvuhttit
káránâsjuŋŋâ	gáránasjuŋŋa
káránâsmyerji	gáránasmuorji
káržudiđ	gáržudit
káržuđ	gáržut
kásániđ	gásánit
kásáttiđ	gásáhttit
kásáttuđ	gásáhttut
káttu	gáhttu
káttudiđ	gáhttudit
káttus	gáhttus
kávkkáđ	gávhkkát
kávluppeeli	gávluhppeali
kávuttiđ	gávuhttit
kávádiđ	gávádit
kááhuđ	gáhut
kááhuš	gáhuš
kááijuđ	gádjut
káálgus	gálgus
káálus	gálus
káámmár	gápmár
káárruđ	gárrut
káátu	gátu
kááđus	gáđus
káđuttâs	gáđuhttas
káđálduh	gáđáldut
káđáldâs	gáđáldas
käcci	gáhcci
kädisergi	gádisergi
kähtee	gáhtei
kähvi	gáhvi
käibi	gáibi
käibidiđ	gáibidit
kälbinjune	gálbidnjuni
käldee	gáldei
käldeečujos	gáldeačujos
källee	gállei
kännyk	gádnyk
kärbisheivi	gárbisheivi
kärbisruátu	gárbisroatu
kärdi	gárdi
kärigâš	gárigaš
kärŋi-	gárŋi-
kärŋiluđ	gárŋilut
kärži	gárži
käržidiđ	gáržidit
käskeečuáimâš	gáskeačoaimaš
käskistiđ	gáskistit
kässeekeđgi	gásseakeđgi
kässi	gássi
kässipeeci	gássipeaci
kästittiđ	gástihttit
kästiđ	gástit
kättiergi	gáhttiergi
kävildiđ	gávildit
kävilâššâđ	gávilaššat
kävni	gávdni
kävnittem	gávdnihtten
kävppalmai	gávhppalbmai
kävppi	gávhppi
kävppijâs	gávhppdjas
käzzi	gázzi
käädis	gádis
käägis	gágis
käähvih	gáhvit
käälis	gális
käämis	gámis
käärbis	gárbis
käärgis	gárgis
