-aikainen	-áigásâš
joutokäynti	tuššekeevvâm
joutomaa	ävhittiseennâm
joutua	jhk
joutuin	rotoi
juhannus	jonsahpeivi
juhannuskokko	jonsahtullâ
juhla	juhle
juhlallinen	juhlálâš
juhlapuhe	juhlesaahâ
juhlasali	juhlesali
juhlia	juhlođ
juhta	fiävru
julistaa	kulluuttiđ
juliste	poster
julistus	julgáštâs
juljeta	ooviittiđ
julkaisija	olgosadeleijee
julkaista	almostittiđ
julkaisusarja	almostittemráiđu
julkaisutuki	almostittemtoorjâ
julkea	sudesta
julki	oolmân
julkilausuma	almosciälkkámuš
julkinen	julgâlâš
julkipano	uáinimnáálpieijâm
julkisesti	julgâlávt
julkishallinto	almoshaldâttâs
julkisivu	ovdâsijđo
julkisoikeus	almosvuoigâdvuotâ
julkisuus	almolâšvuotâ
julkisyhteisö	almossiärvádâh
julma	julme
julmistua	julmođ
jumala	immeel
jumalaapelkääväinen	immeelpalolâš
jumalainen	immeellâš
jumalankieltäjä	immeelkieldee
jumalanpalvelus	immeelpalvâlus
jumalanpelko	immeelpalo
jumalanpilkka	immeelpilkkedem
jumalansana	immeelsääni
jumalaton	immeelmáttum
jumalattomuus	immeelmáttumvuotâ
jumalinen	immeellâš
jumaloida	palvâliđ
jumaluus	immeelvuotâ
jumaluusoppi	immeelvuođâoppâ
jumittua	áhásiđ
jumpata	lášmuttâllâđ
jumppa	lášmuttâllâm
jumputtaa	poŋkkeđ
jumputus	poŋkkem
juna	juná
junarata	junárađe
juoda	juuhâđ
juoksennella	kaksijalkaisista
juoksettua	loppiđ
juokseva	
juoksupoika	kočostâh
juoksurata	kaččâmrađe
juoksuttaa	kaksijalkaisista
juoksutusmaha	togge
juoma	juhâmâš
juomakelpoinen	juvâtteijee
juomalasi	juuhâmlaasâ
juomanlaskija	juhâmâšliäškoo
juomari	alkoholisti
juomus	juoŋâs
juomussalko	suárváš
juomustaa	juoŋâstiđ
juoni	juonâ
juonia	juánušiđ
juontaa	toimia
juopotella	juvâttâllâđ
juoppous	juhheevuotâ
juopua	uáiváduđ
juopumus	uáivistvuotâ
juoru	šlaadâr
juorukello	šladârdeijee
juoruta	šladârdiđ
juosta	kaksijalkaisista
juosten	nelijalkaisista
juotava	juoma
juotin	kolvâ
juotos	juvâttâs
juottokolvi	juvâttemkolvâ
juovikas	sárgáá
juovuksissa	juhâlum
juridiikka	riehtioppâ
juridinen	riehtiopâlâš
juristi	juuriist
juroa	nááđđuđ
justeeri	koldâsááhá
justiin	eidu
jutaa	jotteeđ
jutaminen	jotteem
jutamispolku	jođáttâh
jutella	huátistiđ
juttu	maainâs
juttukaveri	sárnumskippáár
juurakko	syebdee
juurakonhaara	kuáduipelji
juures	ruotâsšaddo
juurihoito	maadâtipšo
juurikarva	ruotâssoovsâ
juurikääpä	ruotâsčááná
juurinystyrä	ruotâsčuolmâ
juuriselleri	ruotâsseller
juurruttaa	ruotâsmittiđ
juurtua	ruotâsmuđ
juurtumahapsi	ruotâsmumriesâ
juusto	vuástá
juustohöylä	vuástáheevvâl
juutalainen	juudalâš
juutti	juutti
juuttua	áhásiđ
jykevä	hormiš
jylhä	ruámšáá
jylistä	julijdiđ
jyminä	juumâ
jymistä	jumijdiđ
jymähtää	miähkáđ
jymäyttää	stonccâliđ
jyrinä	juurâ
jyristä	jurdijdiđ
jyrkkä	ciägus
jyrkänne	kočâttâh
jyrsijä	jurssee
jyrsinkone	jursemmaašin
jyrsiä	cieppâđ
jyrä	tassimpiergâs
jyske	puuŋkâs
jyskyttää	mehkâliđ
jysähtää	miähkáđ
jysäyttää	julkkâliđ
jytinä	meehkâs
jytistä	juhkeđ
jyvitys	jivvim
jyvä	viljan
jyvänen	jivečalme
jyystää	justeđ
jähmettymispiste	storgâsmemrääji
jähmeä	stoorgâs
jäinen	kolmum
jäkälikkö	jevileennâm
jäkälä	jäävvil
jäkälöitynyt	jävildum
jäkälöityä	jävilduđ
jäljelle	jäädä
jäljellä	vain
jäljennös	miäldus
jäljentää	miäldustiđ
jäljiltä	viđá
jäljitellä	ađđiistâllâđ
jäljityskeli	vuátádâh
jälkeen	maŋa
jälkeenpäin	maŋa
jälkeensä	maŋŋaalsis
jälkeläinen	maajeeldpuáttee
jälki	kiejâ
jälki-	moonjiš-
jälki-istunto	čokkámráŋgáštâs
jälkikäteen	maŋadist
jälkimmäinen	majemuš
jälkipää	kuođâldâh
jälkiruoka	pajalâš
jälkitarkistus	monnjâtarkkum
jälkitauti	monnjâtavdâ
jälkivaatimus	monnjâvátámuš
jälleen	oppeet
jälleenmyynti	uđđâsistvyebdim
jälleennäkeminen	uđđâsist
jälleenrakentaminen	uđđâsisthuksim
jälsi	njale
jämerä	vanttâ
jänis	njuámmil
jänishousu	ärgisiištâ
jänisrutto	njuámmilrotto
jänkä	jeggi
jänkäheinä	jeggisyeini
jänkäinen	jiäggáá
jänne	tekkisuonâ
jännesolmu	čoovâr
jännite	keeldâ
jännittäminen	keldim
jännittävä	jiäráskittee
jännittää	keldiđ
jännitys	keeldâ
järeä	hormiš
järistys	tuárgástâs
järistä	tuárgistiđ
järjellinen	jiärmáá
järjenvastainen	jiermivuástásâš
järjestellä	orniistâllâđ
järjestelmä	vuáhádâh
järjestelmäkamera	vuáhádâhkamera
järjestelmällinen	oorniglâš
järjestely	orniistâllâm
järjestymätön	ornijduuhánnáá
järjestys	oornig
järjestysluku	oornigloho
järjestysmies	oornigvahtâ
järjestyä	ornášuđ
järjestäjä	uárnejeijee
järjestäytyminen	ornijdem
järjestäytymätön	oornijdmettum
järjestäytyä	liittyä
järjestää	
järjestö	yhdistys
järjettömyys	jiermittesvuotâ
järjettömästi	jiermittemeht
järjetön	jiermittem
järkeistyä	šoddâđ
järkeistää	jiärmásmittiđ
järkevä	jiärmáá
järkevästi	jiärmáht
järki	jiermi
järkiinnyttää	vijsásmittiđ
järkiintyä	vijsásmuđ
järkyttyä	hirmástuđ
järkyttävä	hirmástuttee
järkyttää	hirmástuttiđ
järsiä	jursseđ
järvenpää	jävrikeeči
järvenranta	jävririddo
järvenselkä	jorŋâ
järvi	jävri
jäsen	
jäsenanomus	jeessânucâmuš
jäsenetu	jeessânhiätu
jäsenistö	jesâneh
jäsenkirja	jeessânkirje
jäsenkortti	jeessânkorttâ
jäsenluettelo	jeessânluvâttâllâm
jäsenmaksu	jeessânmáksu
jäsennellä	čovdâččiđ
jäsennys	
jäsenyhdistys	jeessânservi
jäsenyys	jeessânvuotâ
jäte	pasâttâs
jätehuolto	pasâttâshuolâttâs
jätekeskus	pasâttâskuávdáš
jätelaki	pasâttâslaahâ
jätepala	jäännöspala
jätepuristin	pasâttâsčárvoo
jätevedenpuhdistamo	tuolvâčäciputestemruustig
jätevesi	tuolvâčääci
jätevesimaksu	tuolvâčäcimáksu
jätkänkynttilä	játkákiintâl
jättiläinen	jietânâs
jättiläiskävely	jietânâsväzzim
jättäytyä	jälkeen
jättää	kyeđđiđ
jättöaika	kyeđđimäigi
jättöpäivä	kyeđđimpeivi
jäykistyä	puutua
jäykistäminen	storgâsmittim
jäykistää	storgâsmittiđ
jäykkyys	storgâsvuotâ
jäykkä	stoorgâs
jäykkäkouristus	storgâčarviittâh
jää	jieŋâ
jäädyke	kalmaattoh
jäädyttämö	kalmaattâh
jäädyttää	jiäŋudiđ
jäädä	pääcciđ
jäähalli	jieŋâhallâ
jäähdytellä	čuáskudâttâđ
jäähdytin	čuáskudeijee
jäähdyttää	čuáskudiđ
jäähdytysneste	čuáskudemkolgos
jäähile	jieŋâmuálu
jäähtyä	čuáskuđ
jäähy	čuáskuttâllâmráŋgáštâs
jäähyaitio	ráŋgáštâshiŋgál
jääkaappi	jieŋâskäppi
jääkaira	jieŋânááváár
jääkausi	jieŋâpaje
jääkerros	ohut
jääkiekko	jieŋâskiärru
jääkiekkokaukalo	jieŋâskiärrukieddi
jääkukka	jieŋârääsi
jääkuori	ohut
jääkylmä	jieŋâkoolmâs
jääkäri	jáágár
jäälautta	jieŋâpäldee
jäämistö	jäämmimpeesi
jäänesto	jieŋâiästu
jäänmurtaja	jieŋâmuárree
jäännös	pasâttâs
jäännöserä	pasâttâsuási
jäännöspala	nievkki
jäännösvero	pasâttâsviäru
jäänuotta	jieŋânyetti
jääpallo	jieŋâpállu
jääpalloilija	jieŋâpálluspellee
jääpato	jieŋâpuáđu
jääpuikko	jieŋâpuureeh
jääräpäinen	ceggii
jääsumu	omo
jäätanssi	jieŋâtánssám
jäätelö	lahcâjieŋâ
jäätie	jieŋâs
jäätikkö	jieŋâdâh
jäätyminen	jiäŋŋum
jäätymispiste	jiäŋŋummuddo
jäätyä	jiäŋŋuđ
jäätää	kalmeđ
jääverkko	juoŋâs
jäävi	iästulâš
jääviys	iästulâšvuotâ
jäävuori	jieŋâvääri
jäävätä	jááváđ
jököttää	kuákkáđ
kaakattaa	skaŋkkâđ
kaakeli	kaagel
kaakko	maadânuorttii
kaamos	skammâ
kaamosmasennus	skammâšlundevuotâ
kaaos	moive
kaaosmainen	moiváá
kaapata	čovádiđ
kaapeli	kaabel
kaapia	raaputtaa
kaappi	skappi
kaari	tävgi
kaarihöylä	kavreheevvâl
kaarikäytävä	kevlivázáttâh
kaariste	karâstâh
kaarna	párkku
kaarre	kärdi
kaartaa	kevliđ
kaartua	kuákkáádiđ
kaasu	kaasu
kaasupoltin	kaasupuáldán
kaataa	nestettä
kaatopaikka	tuvne
kaatua	kompastua
kaatuilla	kočâdiđ
kaatumatautinen	jámálgiddee
kaava	
kaava-alue	kaavavijđodâh
kaavoitus	kaavam
kadehtia	kađâštiđ
kadoksissa	lappâsist
kadota	lappuđ
kadottaa	läpittiđ
kadotus	kađottâs
kahakka	stuime
kahakoida	tuáruttiđ
kahdeksan	käävci
kahdeksankymmentä	kähcilov
kahdeksas	káávcád
kahdeksikko	káávcáš
kahden	kuávttáá
kahdenkeskinen	kahdenkeskinen
kahdesti	kuohtii
kahina	mooccân
kahista	mosijdiđ
kahisuttaa	mosijdiđ
kahlaaja	kalâččeijee
kahlaamo	kaalâ
kahlailla	kalâččiđ
kahlata	käälliđ
kahlausjälki	káláttuh
kahle	ävli
kahva	peeljâs
kahvi	juoma
kahvila	kähviviäsu
kahvinkeitin	kähvivuošân
kahvinpaahdin	riännár
kahvinpapu	kähvičalme
kahvinporo	ruggâ
kahvistella	káhvástâllâđ
kahvitauko	káhvástâllâmpuddâ
kai	almaa
kaihdin	šermâ
kaikenlainen	puohlágán
kaikkein	puoh
kaikki	puoh
kaikkiruokainen	puohporree
kaikkitietävä	puohtiettee
kaikkivaltias	puohváldálâš
kaiku	távástâh
kaikua	skaaijâđ
kaikukoppa	škajâvuovdâ
kaikuluotain	škajâluođân
kaima	käimi
kainalo	käŋŋir
kainalosauva	käŋŋirsuábbi
kainostella	uináástâllâđ
kaipa	mai
kaisla	ruáhu
kaislikko	čäciruávustâh
kaistale	vyöhyke
kaitselmus	immeel
kaiutin	škaajân
kaivaa	
kaivata	aibâšiđ
kaivaus	kuáivuttâh
kaivautua	kuáivudâttâđ
kaivella	moljođ
kaiverrus	skuážurdâs
kaiverrusveitsi	skuážurdemnjibe
kaivertaa	skuážurdiđ
kaivinkone	kuáivummaašin
kaivo	káivu
kaivos	porojen
kakara	čivgâ
kakistaa	čolloođ
kakka	poškâ
kakkahätä	poškâeeti
kakkonen	kuovtiš
kakku	kákku
kakkuvuoka	kákkuvuormâ
kakoa	kááhuđ
kaksi	kyehti
kaksikielinen	kyevtkielâlâš
kaksikielistyä	kyevtkielâšuđ
kaksikielisyys	kyevtkielâlâšvuotâ
kaksikymmentä	kyehtlov
kaksikyttyräinen	kyevtkurppesâš
kaksinaamainen	kyehtilâš
kaksinen	áhtánâs
kaksinkertainen	kyevtkiärdág
kaksitoista	kyehti-
kaksiulotteinen	kyevtuulâtlâš
kaksoisklikkaus	tublespokkâlem
kaksoispiste	jyemeehčuogâstâh
kaksonen	jyemehâš
kala	kyeli
kalaisa	kuálláá
kalakauha	kyelikietâ
kalakoukku	lyötävä
kalakuolema	kyelijáámu
kalankasvatuslaitos	kyelišoddâdemlágádâs
kalanliha	cuoppâ
kalanmaksaöljy	kyelevuoivâsoljo
kalanpoikanen	vuojâleijee
kalanpyrstö	kyelepeeccih
kalansuomu	kyelečuomâ
kalaparvi	uáivádâh
kalastaa	kuálástiđ
kalastaja	kyelipivdee
kalastus	kuálástus
kalavitsas	vicárâh
kalenteri	kalender
kalikka	paallâh
kalina	skoollân
kalista	skalijdiđ
kaljama	kaaljâ
kalju	puálčči
kalkkikallio	kalkkâpähti
kalkkikallioalue	kalkkâkälleekuávlu
kalkkikivi	kalkkâkeđgi
kalleus	tivrâsvuotâ
kalliinpuoleinen	tivrâssiähá
kallio	pähti
kallioinen	páhtáá
kalliojyrkänne	heŋgâpähti
kallioperä	källeevuáđu
kallioseinämä	pähti
kallis	tiivrâs
kallisarvoinen	merkityksellinen
kalori	kaaloor
kalpea	kuokšâd
kalsea	kalšâd
kaltainen	-lágán
kaltaisuus	sullâ
kalteva	kärŋil
kalusto	kálvudâh
kaluta	susteđ
kalvaa	kahheeđ
kalveta	kuávšudiđ
kalvo	lihassa
kalvosin	suájákeeči
kama	tobrik
kamana	pajekoozâš
kamari	káámmár
kameli	kaameel
kamera	kamera
kamina	kaamiin
kammata	čohhoođ
kammo	merettes
kampa	čohhoom
kampaaja	vuoptâčeppi
kampaamo	čovottâh
kampakeramiikka	čohhoomkeramiik
kampasuomu	čohhoomčuomâs
kampaus	čovottâs
kampi	veivâ
kampiakseli	veivâaksel
kamppailla	kámppádâllâđ
kampsu	kuumpâs
kana	kääni
kanaali	kaanaal
kanalintu	känilodde
kananmuna	känemane
kanava	
kaneli	kaaneel
kangas	käägis
kangasmaa	kuolbâ
kangasturve	kuolbâlavnje
kangastus	spejâlistim
kangeta	kaggâđ
kangistua	tuáŋguđ
kankea	tuáŋgi
kanki	kaaggâin
kannanotto	uáivilalmottâs
kannas	kuátku
kannattaa	
kannatusjäsen	toorjâjeessân
kannatusmaksu	kyedittemmáksu
kannel	kaddâlâs
kannettava	kuáddámuš
kanniskella	kuodâččiđ
kannu	kannu
kannustaa	movtijdittiđ
kansa	aalmug
kansainvaellus	aalmugvajâldâs
kansainvälinen	almugijkoskâsâš
kansainvälisyys	almugijkoskâsâšvuotâ
kansakoulu	aalmugškovlâ
kansalainen	aalmugjeessân
kansalaisopisto	aalmuglâšopâttâh
kansalaissota	aalmuglâšsuáti
kansalaisuus	aalmugjeessânvuotâ
kansallinen	aalmuglâš
kansalliskieli	aalmugkielâ
kansallislaulu	aalmuglâšlaavlâ
kansallislintu	aalmuglâšlodde
kansallismaisema	aalmuglâšuáináttâh
kansallispuisto	aalmuglâšmecci
kansallisuus	aalmuglâšvuotâ
kansanedustaja	aalmugovdâsteijee
kansaneläke	aalmugiäláttâh
kansaneläkelaitos	aalmugiäláttâhlágádâs
kansanheimo	aalmugčerdâ
kansankieli	aalmugkielâ
kansankoti	aalmugpäikki
kansanlaulu	aalmuglaavlâ
kansanoikeus	aalmugvuoigâdvuotâ
kansanperinne	aalmugärbivyehi
kansanruno	aalmugruno
kansansatu	aalmugmaainâs
kansansivistys	aalmugčuovviittâs
kansantarina	aalmugmuštâlus
kansanterveys	aalmugtiervâsvuotâ
kansanterveystyö	aalmugtiervâsvuođâpargo
kansantuote	aalmugpuovtâdâs
kansanvalistus	aalmugčuovviittâs
kansanvalta	aalmugväldi
kansanäänestys	aalmugjienâstem
kansatiede	aalmugtieđâ
kansi	
kansikuva	lokkekove
kansilehti	lokkesijđo
kansio	mappi
kansitiiviste	lokketovkos
kanslisti	kanslist
kanssa	myös
kanta	tyvi
kanta-asiakas	fastâäššigâs
kantaa	kyeddiđ
kantaen	kyedin
kantahenkilökunta	vuáđupargoviehâ
kantaja	kyeddee
kantakieli	vuáđukielâ
kantamalla	kyedin
kantaminen	kyeddim
kantamuoto	vuáđuhäämi
kantamus	kurppe
kantapää	šušme
kantasuku	madârsuuhâ
kantavuus	suvdem
kanto	čuoldâ
kantohanki	cuáŋui
kantohinta	čuoldâhadde
kantoraketti	kuádduraakeet
kantosatula	spavah
kantovesa	čuoldâvesa
kanttori	kanttor
kapakala	koskâm
kapalo	kääppil
kapaloida	käpilittiđ
kapasiteetti	kapasiteet
kapea	kezzi
kapeikko	pohe
kapine	ettâ
kappalainen	kappalâš
kappale	káppálâh
kapteeni	kapteen
kapusta	kyelikietâ
karata	kárgáđ
kardinaali	kardinaal
karhea	rovvi
karheutua	harkkoluđ
karhunhaaska	peerbil
karhunpoika	pierni
karhunpyynti	kuobžâpivdo
karhunpyyntitarina	kuobžâpivdemmaainâs
karhunpyytäjä	kuobžâkoddee
karhuntalja	kuobžâduh
kari	kárgu
karies	pänimieskâm
karike	mieskâttâsah
karitsa	lääbis
karitsoida	kyeddiđ
karja	kärji
karjaista	čirgáđ
karjalainen	kärjillâš
karjanhoito	šiiveettuálu
karjatalo	šiiveettáálu
karjatalous	šiiveettuálu
karjua	čirgođ
karjunta	paargâs
karkaista	puášudiđ
karkausvuosi	kärgidemihe
karkea	karhea
karkeajyväinen	kyermis
karkki	njäälgis
karkkipäivä	njälgispeivi
karkottaa	kovŋiđ
karkottaja	kärbee
karkulainen	kárgulâš
karkuri	paađur
karsastaa	silmästä
karsastus	likkâmčalmeh
karsia	karsâđ
karsikko	kaarsah
karsina	karsin
karsinta	raađhâ
karsintakilpailu	raađhâkišto
karstainen	skárttáá
karsti	karsti
kartano	kärdin
kartasto	kárttádâh
kartella	korvâččiđ
kartio	lávulâh
kartoittaa	karttiđ
kartonki	kartoŋk
kartta	kárttá
karttapallo	kárttápállu
karttua	karttâđ
kartuttaa	karttuuttiđ
karva	soovsâ
karvaannuttaa	sovsâluttiđ
karvaantua	sovsâluđ
karvainen	soksii
karvakenkä	sovskaamuv
karvakilo	roppâkiilu
karvalakki	sovskappeer
karvamerkki	kuolgâmerkkâ
karvanluonti	porge
karvasipuli	soovsâsipuli
karvaton	pääljis
kas	kiäh
kasa	leeji
kasaantua	čokkâniđ
kasata	liäjádiđ
kasetti	kasseet
kassa	kassa
kastaa	kirkoll.
kastautua	mennä
kasteinen	suálnum
kastekäsky	kaastâpákkum
kastelija	njuoskâdeijee
kastella	njuoskâdiđ
kastelukannu	liäškoo
kastemalja	kaastâcerkki
kastemekko	kaastâpiivtâs
kastetodistus	kaastâtuođâštus
kastetoimitus	kaastâtoimâttâs
kastettava	kästittettee
kastike	puánjumâš
kastua	njuoskâđ
kasvaa	šoddâđ
kasvain	šodâlmâs
kasvattilapsi	kejâdeppáárnáš
kasvatushakkuu	šoddâdemčuoppâm
kasvi	rääsi
kasvihuone	šaddoviste
kasvihuoneilmiö	šaddovistealmoon
kasvihuonekaasu	šaddovistekaasu
kasvillisuus	šadolâšvuotâ
kasvillisuusvyöhyke	šaddokerdistielâs
kasvimaa	šaddokärdi
kasvinkumppani	šaddokyeimi
kasvinviljely	šaddošoddâdem
kasvio	šaddočuágáldâh
kasviplankton	planktonšaddo
kasvisolu	šaddosellâ
kasvisolukko	šaddosellâdâh
kasvisrasva	šaddovuojâ
kasvisruoka	šaddopurrâmuš
kasvissyöjä	šaddoporree
kasvisto	šaddodâh
kasvitiede	šaddotieđâ
kasviöljy	šaddo-oljo
kasvokkain	muáđui
kasvu	šoddâm
kasvualusta	šaddovuálááš
kasvukausi	šoddâmpaje
kasvukipu	šoddâmkipo
kasvupiste	šoddâmčyegis
kasvusto	šaddodâh
kasvutapa	šoddâmvyehi
katajanmarja	riätkámyerji
katalysaattori	katalysaattor
kate	loovdâ
kateellinen	kaađâš
katekismus	katkismus
kateturve	muudâr
kateus	kađâšvuotâ
katka	kaccuu
katkaisin	puáđhun
katkaista	potkiđ
katkaisuhoito	potkimtipšo
katkarapu	merâkaccuu
katkeilla	potkânâddâđ
katkelma	pittá
katkera	poččâ
katkeroittaa	počâšmittiđ
katketa	potkâniđ
katkoa	puátkuđ
katkonainen	pođhâlâš
katkos	potkâ
katkosarvi	poro
katkottaa	potkiittiđ
katkoviiva	potkâsäärgis
kato	láppu
katoaminen	lappum
katolinen	katolilâš
katolisuus	katolilâšvuotâ
katos	jalallinen
katovuosi	viljellyn
katsahtaa	kejâstiđ
katsastamaton	keejâthánnáá
katsastus	kejâttâs
katsastusmies	kejâttâsalmai
katsastuttaa	kejâttiđ
katsaus	kejâstâh
katse	kejâstâh
katsella	kejâdiđ
katselmus	kejâlmâs
katseltava	keejâdmâš
katsoa	keččâđ
katsoja	keččee
katsomo	kejâttâh
katsomuksellinen	uáinulâš
katsomus	uáinu
kattaa	jkin
kattava	luávdee
katteeton	vuáđuttem
kattila	kiemni
katto	káttu
kattohuopa	semptalin
kattotuoli	kuáŋŋumuorâ
katu	kaatâ
katua	kaattâđ
katumus	katâmâš
katuva	katâvâš
katuvalo	katâčuovâ
katve	varjopaikka
kauan	kuhháá
kauas	kuhás
kauemmas	olgoláá
kauha	suuri
kauhea	kaavhâd
kauheasti	hirmâdávt
kauhistella	hirmástâllâđ
kauhistua	hirmástuđ
kauhistuttaa	hirmástuttiđ
kauhoa	kuáivuđ
kauimmin	kuhemustáá
kauimpana	olgomustáá
kaukainen	kaaidâs
kaukaisimmillaan	tovbemustáá
kaukana	kukken
kauko-ohjaus	olgoláástivrim
kaukolainaus	káidusluoihâttem
kaukoliikenne	kuhesjotolâh
kaukolämpö	káidusliegâs
kaukonäköinen	káidusuáinulâš
kaukoputki	teleskoop
kaukosäädin	kuheskietâ
kaula	čeve
kaula-aukko	siäpulâs
kaulakoru	čevečiŋŋâ
kaulaliha	kurtte
kaulantyvi	čevemaadâ
kaulapanta	čevepäddi
kaulin	kavlin
kaulita	kavliđ
kauluri	kaulur
kaulus	siäpulâs
kauluspaita	siäpulâspäiđi
kauna	poččâvuotâ
kauneudenhoito	muččâdvuođâtipšom
kauneus	muččâdvuotâ
kauneusvirhe	mučisvuođâváddu
kauniisti	muččâdávt
kaunis	muččâd
kaunistaa	mučismittiđ
kaunistautua	mučâsmittiđ
kaunistella	mučástâllâđ
kaunistua	mučásmiđ
kaunokirjallisuus	čaabâkirjálâšvuotâ
kaunokirjoitus	čaabâčäällim
kaunoluistelu	čaabâluistám
kaunopuheinen	čaabâsánálâš
kaunotar	fávru
kaupaksikäynti	joto
kaupallinen	kávpálâš
kaupankäynti	kavpâšem
kaupittelu	kavpâšem
kauppa	kävppi
kauppa-apulainen	kävppi-iše
kauppakirja	kävppikirje
kauppakorkeakoulu	kävppiollâškovlâ
kauppakoulu	kävppiškovlâ
kauppaopisto	kävppiopâttâh
kauppaoppilaitos	kävppioppâlágádâs
kauppatavara	kävppikálvu
kauppatori	kävppitori
kauppias	kävppijâs
kaupunginjohtaja	kaavpughovdâ
kaupunginkanslia	kaavpugkanslia
kaupunginosa	kaavpuguási
kaupungintalo	kaavpugtáálu
kaupunginvaltuusto	kaavpugstivrâ
kaupungistua	kaavpugluđ
kaupunki	kaavpug
kaupunkilainen	kaavpuglâš
kaupunkiliitto	kaavpuglitto
kaurapuuro	kavrasuohâd
kauris	kaavrâs
kausi	paje
kausiluonteinen	pajasâš
kautta	peht
kauttakulku	čoođâjotteem
kauttaviiva	vinesäärgis
kavala	käävvil
kavallus	kävildem
kavaltaa	kävildiđ
kavaltaja	kävildeijee
kavaluus	käävvilvuotâ
kaveerata	veerdušiđ
kaventaa	kezidiđ
kaveri	skippáár
kavio	kozzâ
kehaista	rammuustiđ
kehdata	kehtidiđ
kehitellä	ovdediđ
kehittymätön	ovdánmettum
kehittynyt	ovdánâm
kehittyä	otânâššâđ
kehittäminen	ovdedem
kehittää	ovdediđ
kehitys	ovdánem
kehitysalue	ovdedemkuávlu
kehitysapu	ovdedemise
kehitysmaa	ovdáneijeerijkkâ
kehitysvammainen	ovdánemvádulâš
kehitysyhteistyö	ovdedemohtsâšpargo
kehno	kiähnu
kehnosti	kiähnuht
keho	roppâ
kehotella	hástálâddâđ
kehottaa	avžuđ
kehotus	aavžâ
kehräpuu	kuuhâl
kehrätä	lankaa
kehrävarsi	vedissnäldee
kehto	kiähtu
kehtolaulu	vuáttumlivđe
kehu	raamâ
kehua	rämidiđ
kehuskella	rammuustâllâđ
kehys	pirâldâs
kehystää	raamiđ
kehä	kehá
kehäkulma	kiärdučiehâ
keidassuo	leeđi
keihäs	säitti
keihäänheitto	säittileggistem
keikahtaa	käškittiđ
keikari	kemppâsâddee
keikaroida	kemppâsâddâđ
keikauttaa	kaškâliđ
keikkua	jumbârdiđ
keikkuva	vene
keikuttaa	stávruttiđ
keila	šluubbuk
keilailu	šluubbukstâllâm
keimailla	kieimâsâddâđ
keinokuitu	tahosáigu
keinotekoinen	rahtum
keinotella	spekulistiđ
keinottelija	spekulistee
keinottelu	spekulistem
keinovalo	tahočuovâ
keinu	suilo
keinua	keinussa
keinuttaa	kehtoa
keinutuoli	suuhâmstovli
keisari	kiäisár
keisarillinen	kiäisárlâš
keisarinna	kiäisárroonnig
keitin	vuošân
keitinselkä	kuáŋkku
keittiö	kievkkân
keittiökaluste	kievkkânkálvu
keitto	määli
keittokirja	mälistemkirje
keittäjä	vyeššee
keittää	vuoššâđ
kekseliäs	utkáá
keksijä	utkee
keksintö	hutkos
keksiä	hutkâđ
kekäle	räddi
kela	keeli
kelanreikä	keliräigi
kelata	keelliđ
kelautua	kelâšuđ
keli	sijvo
kelirikko	sijvottisvuotâ
keljuilla	oggârâššâđ
kelkka	kiälkká
kellari	kiällár
kellarikuoppa	kyeppi
kellastua	muuttua
kellertävä	fiskislágán
kellistää	kávuttiđ
kello	ajannäyttäjä
kellonaika	tijmeäigi
kelloporo	kiällupuásui
kelloseppä	tijmečeppi
kellua	kobđođ
kelluke	kobđottâs
kelluslehti	kobđoolostâ
kelmetä	šuávhudiđ
kelmeä	šovkkâd
kelmi	skelmâ
kelmu	
kelo	suárvi
kelosarvi	čolâčuárvi
kelottua	suárvuđ
kelpoisuus	tohálâšvuotâ
kelpoisuusehto	tohálâšvuođâiähtu
kelpoisuusvaatimus	tohálâšvuotvátámuš
kelpuuttaa	tuhhiittiđ
keltainen	fiskâd
keltarauhanen	fiskisráksá
keltatauti	fiskistavdâ
keltatäplä	fiskistiälkku
kelteisillään	pietittem
kelvata	tuhhiđ
kelvollinen	tohálâš
kelvoton	kiälbuttim
kelvottomuus	kävnittemesvuotâ
kemia	kemia
kemiallinen	kemialâš
kemikaali	kemikaal
kemisti	kemisti
kengittää	kamâttiđ
kenguru	keŋŋuru
kengännauha	kamuvpäddi
kengänpohja	kamuvvuáđu
kengänronttonen	kamuvtuálppi
kengätön	kammuuttem
kenkä	kaamâ
kenkäheinä	kamuvsyeini
kenkäheinäkerä	vierâ
kenkäraja	tuálppi
kenno	kenno
kenosarvi	njäidi
kenoviiva	njahčesäärgis
kenraali	kenraal
kenties	kii
kenttä	kieddi
kenttäkerros	kieddikerdi
kenttätyö	kieddipargo
kepeä	keppâsiähá
kepittää	suábbádiđ
keppi	suábbi
keraami	keeraam
keraamikko	njajâlittetahhee
kerho	kerho
kerjäläinen	kerjilâš
kerjätä	kerjidiđ
kerjääjä	kerjideijee
kerkeä	kiergâd
kerma	erillisenä
kermavaahto	lahcâsuptâ
kermikäntalja	čiermihât
kermoittua	lahcâluđ
kerosiini	kerosiin
kerralla	ohtân
kerran	ohtii
kerrassaan	ollásávt
kerrata	kiärduđ
kerros	kerdi
kerrossammal	kerdiseevtil
kerrossänky	kerdiseŋgâ
kerrostalo	kerditáálu
kerrostua	kiärdášuđ
kerrostuma	kiärdášum
kerrostuneisuus	kiärdášumvuotâ
kerskailija	rámmáá
kerskailla	čiävluttâllâđ
kerta	häävi
kertakäyttö-	kerdikiävttu-
kertalippu	ohtiikevttimlippu
