SUOMI	SÄMIKIELÂ UUCÂMSÄÄNI	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKKEJÄ JA LIITTYVIÄ ILMAUKSIA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
koipinahka  	kaamâs  kammâs;    (asetella lastuja kuivatettavalle koipinahalle) vuo'lâttistiđ~vuo'lttistiđ; (asettelin koipinahoille kuivia lastuja) mun vuo'lttistim kammâsijd koške vuo'lttâsijgijn  	kaamâs	koipi		(asetella lastuja kuivatettavalle koipinahalle) vuo'lâttistiđ~vuo'lttistiđ; (asettelin koipinahoille kuivia lastuja) mun vuo'lttistim kammâsijd koške vuo'lttâsijgijn		nahka	kammâs;		
koipinahkasäärystimet  (mon.)	(miesten) káálsuh (mon.);    (naisten) kamâspidoh (mon.), piddo pido;  (joissa m. haaraosa) kamâspuuvsah (mon.); (säpäkkeen alapään verka) kamâspiddonjälmi -njäälmi  	(miesten) káálsuh (mon.);	koipi	(naisten) kamâspidoh (mon.), piddo pido;	(joissa m. haaraosa) kamâspuuvsah (mon.); (säpäkkeen alapään verka) kamâspiddonjälmi -njäälmi		nahkasäärystimet			(mon.)
koira  	peenuv  pennuu;  (pieni) pennâgâš pennâgáá    	peenuv	koira	(pieni) pennâgâš pennâgáá				pennuu;		
koiranheinä  Dactylis glomerata	pennuusyei'ni  -syeini      	pennuu	koiran			syei'ni	heinä	-syeini		Dactylis glomerata
koiranheisi  Viburnum opulus	pennuumiestâ  -mies'tuu      	pennuu	koiran			miestâ	heisi	-mies'tuu		Viburnum opulus
koirankirppu  Monopsyllus sciurorum	suámsur  suám'ssur~suám'sur      	suámsur	koiran				kirppu	suám'ssur~suám'sur		Monopsyllus sciurorum
koirankoppi  	pennuučiehâ  - čieVâ      	pennuu	koiran			čiehâ	koppi	- čieVâ		
koirankuono  	pennuunjuNe  -njune      	pennuu	koiran			njuNe	kuono	-njune		
koiranpentu  	vielpis  viäl'ppá      	vielpis	koiran				pentu	viäl'ppá		
koiranputki  Anthriscus sylvestris	pennuurääSi~-rääsi  -rääsi      	pennuu	koiran			rääSi~-rääsi	putki	-rääsi		Anthriscus sylvestris
koiranuni  	lodenaVer  -nahhaar      	lode	koiran			naVer	uni	-nahhaar		
koiranäyttely  	penuvčá'itáldâh        	penuv	koira			čá'itáldâh	näyttely			
koiras  	ores  orráás      	ores	koiras					orráás		
koiravaljakko  	penuvkuáLus  -kuál'lus,  penuvráiđu -rááiđu    	penuv	koira	penuvráiđu -rááiđu		kuáLus	valjakko	-kuál'lus,		
koitto  	kuávsui  kuok'suu      	kuávsui	koitto					kuok'suu		
koivu  	suáhi  suáVi      	suáhi	koivu					suáVi		
koivuhapero  Russula aeruginea	suá'hismiäruh  -smiä'Ruheh      	suá'hi	koivu			smiäruh	hapero	-smiä'Ruheh		Russula aeruginea
koivukasvit  Betulaceae	suá'hišadoh        	suá'hi	koivu			šadoh	kasvit			Betulaceae
koivulahorusokas  Pluterus atricapillus	suá'himies'kâruáĐih  -ruáĐiheh      	suá'hi	koivu			mies'kâruáĐih	lahorusokas	-ruáĐiheh		Pluterus atricapillus
koivunkantosieni  Kuehneromyces mutabilis	suá'hičuol'dâkuobâr  -kuob'bâr      	suá'hi	koivun			čuol'dâkuobâr	kantosieni	-kuob'bâr		Kuehneromyces mutabilis
koivunkantosieni  Kuehneromyces mutabilis	suávičuo'ldâkuobâr  -kuob'bâr      	suávi	koivun			čuo'ldâkuobâr	kantosieni	-kuob'bâr		Kuehneromyces mutabilis
koivunlehtohapero  Russula intermedia	suáVirotosmiäruh  -smiä'Ruheh      	suáVi	koivun			rotosmiäruh	lehtohapero	-smiä'Ruheh		Russula intermedia
koivunmantokuoriainen  Scolytus ratzeburgi	suá'hipiddekuorijâš  -kuorijáá      	suá'hi	koivun			piddekuorijâš	mantokuoriainen	-kuorijáá		Scolytus ratzeburgi
koivunpunikkitatti  Leccinum versipelle	suáViruš'mostatti  -taati      	suáVi	koivun			ruš'mostatti	punikkitatti	-taati		Leccinum versipelle
koivunpökkelö  	stokke  stohe      	stokke	koivun				pökkelö	stohe		
koivupölkky  	čuskâ  čuuskâ      	čuskâ	koivu				pölkky	čuuskâ		
koivusokeri  	suá'hisukkâr,    xylitol    	suá'hi	koivu	xylitol		sukkâr,	sokeri			
koivuvahakas  Hygrophorus melizeus	suá'hikässih        	suá'hi	koivu			kässih	vahakas			Hygrophorus melizeus
koivuvyöhyke  	suá'histielâs  -stiellâs      	suá'hi	koivu			stielâs	vyöhyke	-stiellâs		
kojamo  (iso uroslohi)	kuáijim        	kuáijim	kojamo							(iso uroslohi)
kojetaulu  	tiŋgâtavlu  -taavlu,  ettâtavlu -taavlu, ruustigtavlu -taavlu    	tiŋgâ	koje	ettâtavlu -taavlu, ruustigtavlu -taavlu		tavlu	taulu	-taavlu,		
kokaiini  	kokaiin        	kokaiin	kokaiini							
kokata  	kokkiđ  kokkiim      	kokkiđ	kokata					kokkiim		
kokea  	(ansoja tms.) oppâđ  oopâm uáp'pá;  (useaita ansoja tms.) opâdiđ ooppâd; (verkkoa) kuoHâđ kuoVâm; (useita verkkoja) kuo'Vâdiđ kuovvâd; (verkko nopeasti) kuo'Vâstiđ kuovvâst; (jk asia, tapahtuma, seikkailu tms.) feeriđ feeriim, fiä'ránistiđ fiä'ránistám    	(ansoja tms.) oppâđ	kokea	(useaita ansoja tms.) opâdiđ ooppâd; (verkkoa) kuoHâđ kuoVâm; (useita verkkoja) kuo'Vâdiđ kuovvâd; (verkko nopeasti) kuo'Vâstiđ kuovvâst; (jk asia, tapahtuma, seikkailu tms.) feeriđ feeriim, fiä'ránistiđ fiä'ránistám				oopâm uáp'pá;		
kokeilla  	iskâđ  iiskâm iská,  keččâliđ; (kerran t. vain vähän) i'skâstiđ iiskâst, keččâlistiđ; (useita kertoja t. pitkään) i'skâdiđ iiskâd    	iskâđ	kokeilla	keččâliđ; (kerran t. vain vähän) i'skâstiđ iiskâst, keččâlistiđ; (useita kertoja t. pitkään) i'skâdiđ iiskâd				iiskâm iská,		
kokeilu  	keččâlem        	keččâlem	kokeilu							
kokeiluttaa  	keččâlittiđ  keččâlitám      	keččâlittiđ	kokeiluttaa					keččâlitám		
kokelas  	opâttellee,    máttááttellee    	opâttellee,	kokelas	máttááttellee						
kokematon  	umáttum  # is,  hárjánmettum # -is    	umáttum	kokematon	hárjánmettum # -is				# is,		
kokemaväli  (nuotatessa)	kuáđ'fi  kuáđfi      	kuáđ'fi	kokema				väli	kuáđfi		(nuotatessa)
kokemisreissu  	kuoHâmmokke  -mohe      	kuoHâm	kokemis			mokke	reissu	-mohe		
kokemus  	(elämys, seikkailu) fiäráán,    feerim; (erit. työssä tms.) hárjánem    	(elämys, seikkailu) fiäráán,	kokemus	feerim; (erit. työssä tms.) hárjánem						
kokenut  (tottunut, harjaantunut) 	hárjánâm,    oppâm    	hárjánâm,	kokenut	oppâm						(tottunut, harjaantunut) 
kokka  	stämni  stäämni      	stämni	kokka					stäämni		
kokkare  	čuogâr  čuog'gâr      	čuogâr	kokkare					čuog'gâr		
kokki  	kokkâ  kookâ,  mälisteijee    	kokkâ	kokki	mälisteijee				kookâ,		
kokko  	suáttustullâ  -tuulâ;    (pitää isoa tulta) kiä'máidittiđ kiä'máiditám  	suáttus	kokko		(pitää isoa tulta) kiä'máidittiđ kiä'máiditám	tullâ		-tuulâ;		
koko  (part.)	# ubbâ~ubâ,    # heeilâ    	# ubbâ~ubâ,	koko	# heeilâ						(part.)
koko  (subst.)	stuá'Rudâh  stuá'Ruduv      	stuá'Rudâh	koko					stuá'Ruduv		(subst.)
kokoaikainen  	(jokahetkinen) jye'hitovvááš;    (esim. toimi) ubâáigásâš -áigásii    	(jokahetkinen) jye'hi	koko	(esim. toimi) ubâáigásâš -áigásii		tovvááš;	aikainen			
kokoelma  	nurâldâh  nurâlduv      	nurâldâh	kokoelma					nurâlduv		
kokoilla  	nurâdiđ  nuurâd      	nurâdiđ	kokoilla					nuurâd		
kokoinen  	matsâš  matsii      	matsâš	kokoinen					matsii		
kokonaan  	ollásávt;    (kaikki) puoh, viisut; (koko) # ubbâ~ubâ    	ollásávt;	kokonaan	(kaikki) puoh, viisut; (koko) # ubbâ~ubâ						
kokonainen  	oLes  ollás,  ubâlâš ubâlii, # ubbâ~ubâ    	oLes	kokonainen	ubâlâš ubâlii, # ubbâ~ubâ				ollás,		
kokonaisluku  	oLesloho  -loVo      	oLes	kokonais			loho	luku	-loVo		
kokonaisuus  	ubâlâšvuotâ  ubâlâšvuođâ      	ubâlâšvuotâ	kokonaisuus					ubâlâšvuođâ		
kokonuotti  	oLesnuot'tâ  -nuotâ      	oLes	koko			nuot'tâ	nuotti	-nuotâ		
kokoon  	(yhteen, samaan paikkaan) čuákán;    (kutistua, huopua) tuápán;  (panna siivet kokoon lennon jälkeen) mo'rtottiđ morttoot; (saada kokoon jtk hankalasti liikuteltavaa erit. lapsista) kotârittiđ kotâritám  	(yhteen, samaan paikkaan) čuákán;	kokoon	(kutistua, huopua) tuápán;	(panna siivet kokoon lennon jälkeen) mo'rtottiđ morttoot; (saada kokoon jtk hankalasti liikuteltavaa erit. lapsista) kotârittiđ kotâritám					
kokoontua  	čokkâniđ  čokkân,  nurâdâttâđ nurâdâđâm, nurrâluđ nurrâluum nurrâluVá ~ nuRâluđ nuRâluum nuRâluVá; (laumoihin esim. porosta) čorostâllâđ čorostâlâm    	čokkâniđ	kokoontua	nurâdâttâđ nurâdâđâm, nurrâluđ nurrâluum nurrâluVá ~ nuRâluđ nuRâluum nuRâluVá; (laumoihin esim. porosta) čorostâllâđ čorostâlâm				čokkân,		
kokosukeltaja  	oLespyeh'čee        	oLes	koko			pyeh'čee	sukeltaja			
kokosävelasteikko  	oLesnuot'tâciäk'kádâh  -ciäk'káduv      	oLes	koko			nuot'tâciäk'kádâh	sävelasteikko	-ciäk'káduv		
kokotauko  (mus.)	oLespotkâ  -poođhâ      	oLes	koko			potkâ	tauko	-poođhâ		(mus.)
kokous  	čuák'kim        	čuák'kim	kokous							
kokouskutsu  	čuák'kimpovdiittâs        	čuák'kim	kokous			povdiittâs	kutsu			
kokousmatka  	čuák'kimmätki  -määđhi      	čuák'kim	kokous			mätki	matka	-määđhi		
kokoustaa  	čuák'kimistiđ  čuák'kimistám      	čuák'kimistiđ	kokoustaa					čuák'kimistám		
kokuköysi  (juomustettaessa)	saimâkiev'đâ  -kievđâ      	saimâ	koku			kiev'đâ	köysi	-kievđâ		(juomustettaessa)
kolahtaa  	(ääni) kuál'kkáđ  kuál'kkájeh,  skuál'kkáđ skuál'kkájeh, skuá'vhádiđ skuávhád, špuák'káđ špuák'kájeh; (satuttaa jk jhk) puŋkkáđ puŋkkáám;  (pääni kolahti jhk) must uái'vi puŋkkái moosnii  	(ääni) kuál'kkáđ	kolahtaa	skuál'kkáđ skuál'kkájeh, skuá'vhádiđ skuávhád, špuák'káđ špuák'kájeh; (satuttaa jk jhk) puŋkkáđ puŋkkáám;	(pääni kolahti jhk) must uái'vi puŋkkái moosnii			kuál'kkájeh,		
kolari  	autopärtti  -päärti,  autoluhottesvuotâ -vuođâ    	auto	kolari	autoluhottesvuotâ -vuođâ		pärtti		-päärti,		
kolaroida  	kolaristiđ  kolaristám;    (joutua onnettomuuteen) pá'rtáskiđ páártásk, parttâšuđ parttâšuum parttâšuVá ~ párttášuđ párttášuum párttášuVá  	kolaristiđ	kolaroida		(joutua onnettomuuteen) pá'rtáskiđ páártásk, parttâšuđ parttâšuum parttâšuVá ~ párttášuđ párttášuum párttášuVá			kolaristám;		
kolauttaa  	(ääni) kolkkâliđ;(kolautin pääni) mun puŋkkááttim uái'ván; (pääni kolahti jhk) must uái'vi puŋkkái moosnii    (kolkata, kolkata kuoliaaksi) čolkkâliđ; (satuttaa jk jhk) puŋkkáđ puŋkkáám, noigâđ nooigâm; (itsensä jhk) puŋkkááttiđ jiei'jâs; (päänsä jhk) julkkâliđ;  (kolautin pääni) mun puŋkkááttim uái'ván; (pääni kolahti jhk) must uái'vi puŋkkái moosnii  	(ääni) kolkkâliđ;	kolauttaa	(kolkata, kolkata kuoliaaksi) čolkkâliđ; (satuttaa jk jhk) puŋkkáđ puŋkkáám, noigâđ nooigâm; (itsensä jhk) puŋkkááttiđ jiei'jâs; (päänsä jhk) julkkâliđ;	(kolautin pääni) mun puŋkkááttim uái'ván; (pääni kolahti jhk) must uái'vi puŋkkái moosnii	(kolautin pääni) mun puŋkkááttim uái'ván; (pääni kolahti jhk) must uái'vi puŋkkái moosnii				
kolea  	kalšâd  # -is, # kalšis,  (erit. sää) káálus káállus káLuseh    	kalšâd	kolea	(erit. sää) káálus káállus káLuseh				# -is, # kalšis,		
kolehti  	kooleeht  kolehtist kolehteh      	kooleeht	kolehti					kolehtist kolehteh		
kolesteroli  	kolesterol        	kolesterol	kolesteroli							
kolhaista  	(jk jhk) puŋkkáđ  puŋkkáám,  noigâđ nooigâm; (itsensä jhk) puŋkkááttiđ jiei'jâs; (päänsä) julkkâliđ    	(jk jhk) puŋkkáđ	kolhaista	noigâđ nooigâm; (itsensä jhk) puŋkkááttiđ jiei'jâs; (päänsä) julkkâliđ				puŋkkáám,		
kolikko  	šlantti  šlaanti      	šlantti	kolikko					šlaanti		
kolina  	koollân,    koorrân, skaaLâ skaalâ, skaallân, skoollân, šlookâs šlokkâs    	koollân,	kolina	koorrân, skaaLâ skaalâ, skaallân, skoollân, šlookâs šlokkâs						
kolista  	skalijdiđ  skaalijd,  skolijdiđ skoolijd ~ skolidiđ skooliid, skuáv'kkááttiđ skuáv'kkát, skuáv'kkiđ skuávhám; (erit. metallista) kuál'kkiđ kuálhám; (hampaista, kun on kylmissään, peloissaan tms.) vavijdiđ vaavijd    	skalijdiđ	kolista	skolijdiđ skoolijd ~ skolidiđ skooliid, skuáv'kkááttiđ skuáv'kkát, skuáv'kkiđ skuávhám; (erit. metallista) kuál'kkiđ kuálhám; (hampaista, kun on kylmissään, peloissaan tms.) vavijdiđ vaavijd				skaalijd,		
kolistaa  	pávkkááttiđ  pávkkát      	pávkkááttiđ	kolistaa					pávkkát		
kolistelu  	paavhâs  pavkkâs      	paavhâs	kolistelu					pavkkâs		
kolja  Melanogrammus aeglefinus	tikso  tiivso,   tivsá tiivsá    	tikso	kolja	 tivsá tiivsá				tiivso,		Melanogrammus aeglefinus
kolkata  (kuoliaaksi)	čolkkâliđ        	čolkkâliđ	kolkata							(kuoliaaksi)
kolkka  	(nurkka, hatun ym.) čiehâ  čieVâ;  (maailman) kuáv'lu kuávlu; (poron kaivualueen, kiekerön) vies'ki vieski    	(nurkka, hatun ym.) čiehâ	kolkka	(maailman) kuáv'lu kuávlu; (poron kaivualueen, kiekerön) vies'ki vieski				čieVâ;		
kolkkalakki  	čie'hâkappeer        	čie'hâ	kolkka			kappeer	lakki			
kolkuttaa  	skuál'kkiđ  skuálhám,  skuá'lkuttiđ skuálkut, špuá'huttiđ špuáhut; (erit. oveen) skolkkâliđ skolkkâl    	skuál'kkiđ	kolkuttaa	skuá'lkuttiđ skuálkut, špuá'huttiđ špuáhut; (erit. oveen) skolkkâliđ skolkkâl				skuálhám,		
kolkutus  	coolhâs  colkkâs      	coolhâs	kolkutus					colkkâs		
kolli  	oreskissá  -kiSá~-kisá,  oreskaasi    	ores	kolli	oreskaasi		kissá		-kiSá~-kisá,		
kollos  (peräkkäin sidottujen porojen jono)	kuáLus  kuál'lus      	kuáLus	kollos					kuál'lus		(peräkkäin sidottujen porojen jono)
kollostaa  	kuá'Lustiđ  kuállust      	kuá'Lustiđ	kollostaa					kuállust		
kolmannes  	kuá'lmádâs        	kuá'lmádâs	kolmannes							
kolmas  	kuálmád~kuálmâd        	kuálmád~kuálmâd	kolmas							
kolmasosa  	kuá'lmádâs        	kuá'lmádâs	kolmas				osa			
kolme  	kulmâ  kuulmâ;  (kolmen ihmisen joukko) kuulmâs kulmâs;  (kolmittain muusta kuin ihmisistä) kuulmâi-kuulmâi; (kolme kertaa, kolmesti) kulmii;   	kulmâ	kolme	(kolmen ihmisen joukko) kuulmâs kulmâs;	(kolmittain muusta kuin ihmisistä) kuulmâi-kuulmâi; (kolme kertaa, kolmesti) kulmii; 			kuulmâ;		
kolmekymmentä  	kulmâlov  kuulmâlov      	kulmâ	kolme			lov	kymmentä	kuulmâlov		
kolmetoista  	kulmânubáloh  -nubálov      	kulmâ	kolme			nubáloh	toista	-nubálov		
kolmikulmainen  	kuulmâčieVâg  -čievvâg      	kuulmâ	kolmi			čieVâg	kulmainen	-čievvâg		
kolminaisuus  	kulmâvuotâ  kulmâvuođâ      	kulmâvuotâ	kolminaisuus					kulmâvuođâ		
kolminkertaistaa  	tooHâđ kuulmâkiä'rdásâžžân        	tooHâđ 	kolmin			kuulmâkiä'rdásâžžân	kertaistaa			
kolminumeroinen  (mat.)	kuulmânummeersâš  -nummeersii      	kuulmâ	kolmi			nummeersâš	numeroinen	-nummeersii		(mat.)
kolmio  	(muoto) ku'lmâhâš  ku'lmâháá;  (asunto) kulmlonjâsâš -lonjâsii    	(muoto) ku'lmâhâš	kolmio	(asunto) kulmlonjâsâš -lonjâsii				ku'lmâháá;		
kolmiosainen  (rakennus t. laiva)	kulmlonjâsâš  -lonjâsii      	kulm	kolmi			lonjâsâš	osainen	-lonjâsii		(rakennus t. laiva)
kolmipiikki  Gasterosteus aculeatus	ryev'dikuálááš  -kuáláá      	ryev'di	kolmi			kuálááš	piikki	-kuáláá		Gasterosteus aculeatus
kolmisarvinen  (poro)	kiär'dučuár'vi  -čuárvi      	kiär'du	kolmi			čuár'vi	sarvinen	-čuárvi		(poro)
kolmisädetyräkki  Euphorbia peplus	kuulmâsuorgâg  -suo'rgâg      	kuulmâ	kolmi			suorgâg	sädetyräkki	-suo'rgâg		Euphorbia peplus
kolmiulotteinen  	kuulmâmittosâš  -mittosii,  kuulmâuulâtlâš -uulâtlii    	kuulmâ	kolmi	kuulmâuulâtlâš -uulâtlii		mittosâš	ulotteinen	-mittosii,		
kolmivuorotyö  	kuulmâvuáRupargo  -pa'rgo      	kuulmâ	kolmi			vuáRupargo	vuorotyö	-pa'rgo		
kolmiyhteinen  	kulmâohtâsâš  -ohtâsii      	kulmâ	kolmi			ohtâsâš	yhteinen	-ohtâsii		
kolmonen  	kuulmâš~kuulmiš  kulmii      	kuulmâš~kuulmiš	kolmonen					kulmii		
kolo  	vuág'gu  vuágu;  (puussa, pihkainen) uár'žu uáržu; (loukko) luáv'kku luávhu; (lumessa, linnunkieppi) čiep'pâ čiepâ, čiepâs čiep'pâs;  (hakata koloja, erit. nurkanlovia hirren päähän) ciäk'kuđ ciähum  	vuág'gu	kolo	(puussa, pihkainen) uár'žu uáržu; (loukko) luáv'kku luávhu; (lumessa, linnunkieppi) čiep'pâ čiepâ, čiepâs čiep'pâs;	(hakata koloja, erit. nurkanlovia hirren päähän) ciäk'kuđ ciähum			vuágu;		
kolonialismi  	kolonialism        	kolonialism	kolonialismi							
kolonialistinen  	kolonialistsâš  kolonialistsii      	kolonialistsâš	kolonialistinen					kolonialistsii		
kolopesijä  	vuov'dâpessejeijee        	vuov'dâ	kolo			pessejeijee	pesijä			
kolota  	kolloođ  kolom      	kolloođ	kolota					kolom		
kolottaa  (hampaita t. jäseniä)	juvliđ  juvliim juvlee      	juvliđ	kolottaa					juvliim juvlee		(hampaita t. jäseniä)
kolotus  	luá'duttâh  luá'duttuv      	luá'duttâh	kolotus					luá'duttuv		
koltansaame  (kieli)	nuor'ttâlâškieLâ  -kielâ,   nuor'ttâsämikieLâ -kielâ, nuor'ttâkieLâ -kielâ    	nuor'ttâlâš	koltan	 nuor'ttâsämikieLâ -kielâ, nuor'ttâkieLâ -kielâ		kieLâ	saame	-kielâ,		(kieli)
kolttamuori  	nuor'ttâákku  -ááhu      	nuor'ttâ	koltta			ákku	muori	-ááhu		
kolttanainen  	nuor'ttânissoon        	nuor'ttâ	koltta			nissoon	nainen			
kolttasaamelainen  	nuor'ttâlâš  nuor'ttâlii      	nuor'ttâlâš	koltta				saamelainen	nuor'ttâlii		
kolttavaimo  	nuor'ttâkálgu  -káálgu      	nuor'ttâ	koltta			kálgu	vaimo	-káálgu		
komea  	hámálâš  hámálii,  peertis ~ perttis perttisâs, muččâd # mučis    	hámálâš	komea	peertis ~ perttis perttisâs, muččâd # mučis				hámálii,		
komealupiini  Lupinus polyphyllus	mučisluupiin        	mučis	komea			luupiin	lupiini			Lupinus polyphyllus
komeetta  	koomeet,    seibitäsni -tääsni, pođâštäsni -tääsni    	koomeet,	komeetta	seibitäsni -tääsni, pođâštäsni -tääsni						
komennella  (jkta tarpeettomasti)	huttoođ  huđom;    (joka tarpeettomasti komentelee toista) hutolâs  	huttoođ	komennella		(joka tarpeettomasti komentelee toista) hutolâs			huđom;		(jkta tarpeettomasti)
komentaa  	kivriđ  kivriim      	kivriđ	komentaa					kivriim		
komeus  	muččâdvuotâ  muččâdvuođâ      	muččâdvuotâ	komeus					muččâdvuođâ		
komistua  	hámáiduđ  hámáiduum hámáiduVá      	hámáiduđ	komistua					hámáiduum hámáiduVá		
komitatiivi  	komitatiiv~komitativ        	komitatiiv~komitativ	komitatiivi							
kommentoida  	kommentistiđ  kommentistám      	kommentistiđ	kommentoida					kommentistám		
kommentti  	laSehuá'Mášuttem,    robdâhuá'Mášuttem, komment    	laSehuá'Mášuttem,	kommentti	robdâhuá'Mášuttem, komment						
kommunikaatio  	(viestintä) viestâdem,    (tiedonsiirto, tiedottaminen) tiä'đusirdem,tie'đettem; kommunikaatio    	(viestintä) viestâdem,	kommunikaatio	(tiedonsiirto, tiedottaminen) tiä'đusirdem,tie'đettem; kommunikaatio						
kommunisti  	kommunist        	kommunist	kommunisti							
komojää  	ruáv'kku  ruávhu,  ruáv'ru ruávru    	ruáv'kku	komo	ruáv'ru ruávru			jää	ruávhu,		
komparatiivi  	komparatiiv~komparativ        	komparatiiv~komparativ	komparatiivi							
kompassi  	kompás~kombás        	kompás~kombás	kompassi							
kompastella  	fáškáástâllâđ  fáškáástâlâm      	fáškáástâllâđ	kompastella					fáškáástâlâm		
kompastua  	(kaatua) fäškittiđ  fääškit,  kuossâđ kuosâm; (kerran) kuo'Sâliđ kuossâl, kuos'sâliđ kuos'sâl; (kaatua, tuupertua) vieg'gâsâddâđ vieg'gâsâdâm, vieg'gâsiđ vieg'gâs; (horjahtaa) ruo'Sâliđ ruossâl, ruossâđ ruosâm; (mennä nurin niskoin kompastuessaan) čiävvuđ čiävum    	(kaatua) fäškittiđ	kompastua	kuossâđ kuosâm; (kerran) kuo'Sâliđ kuossâl, kuos'sâliđ kuos'sâl; (kaatua, tuupertua) vieg'gâsâddâđ vieg'gâsâdâm, vieg'gâsiđ vieg'gâs; (horjahtaa) ruo'Sâliđ ruossâl, ruossâđ ruosâm; (mennä nurin niskoin kompastuessaan) čiävvuđ čiävum				fääškit,		
komposti  	kompost        	kompost	komposti							
kompostoida  	kompostistiđ  kompostistám      	kompostistiđ	kompostoida					kompostistám		
kompostointi  	kompostistem        	kompostistem	kompostointi							
kompostoitua  	kompostluđ  kompostluVá      	kompostluđ	kompostoitua					kompostluVá		
kompuroida  	ruo'sâdiđ  ruosâd;  (väsymyksestä) vieš'kâđ vieškâm viäš'ká    	ruo'sâdiđ	kompuroida	(väsymyksestä) vieš'kâđ vieškâm viäš'ká				ruosâd;		
komsio  	kiet'kâm;      (pienen vauvan komsio, pikkukomsio) uccâkiet'kâm, kiet'kâmâš; (toisesta ikävuodesta alkaen käytetty komsio, iso komsio) stuorrâkiet'kâm; (panna lapsi komsioon) kiet'kâđ kieđhâm; (kapalot joihin lapsi käärittiin komsioon) njuoccâh; (komsion sidontanauha) saRapäddi -päädi; (nauha komsion kuomusta jalkopäähän) saRâläbži -lääbži, kiet'kâmläbži -lääbži; (komsion kuomu) kiet'kâmkuáVi -kuávi; (komsion puurunko) kiet'kâmvuáĐu -vuáđu  	kiet'kâm;	komsio		(pienen vauvan komsio, pikkukomsio) uccâkiet'kâm, kiet'kâmâš; (toisesta ikävuodesta alkaen käytetty komsio, iso komsio) stuorrâkiet'kâm; (panna lapsi komsioon) kiet'kâđ kieđhâm; (kapalot joihin lapsi käärittiin komsioon) njuoccâh; (komsion sidontanauha) saRapäddi -päädi; (nauha komsion kuomusta jalkopäähän) saRâläbži -lääbži, kiet'kâmläbži -lääbži; (komsion kuomu) kiet'kâmkuáVi -kuávi; (komsion puurunko) kiet'kâmvuáĐu -vuáđu					
komsiolapsi  	kiet'kâmâspärni  -päärni;    (lapsi komsioineen kokonaisuutena) kiet'kâmâs  	kiet'kâmâs	komsio		(lapsi komsioineen kokonaisuutena) kiet'kâmâs	pärni	lapsi	-päärni;		
kondiittori  	herskuliäi'boo        	hersku	kondiittori			liäi'boo				
kondomi  	kondom        	kondom	kondomi							
kone  	maašin~maaššin        	maašin~maaššin	kone							
koneellinen  	maašinlâš  maašinlii;  (koneella tehty) mašináin tohhum    	maašinlâš	koneellinen	(koneella tehty) mašináin tohhum				maašinlii;		
konepaja  	maašinpääJi  -pääji,  maašinpááJá -páájá    	maašin	kone	maašinpááJá -páájá		pääJi	paja	-pääji,		
konepelti  	maašinpeldi  -peeldi      	maašin	kone			peldi	pelti	-peeldi		
konferenssi  	konferens;    (kokous) čuák'kim; (neuvottelu) ráđádâllâm    	konferens;	konferenssi	(kokous) čuák'kim; (neuvottelu) ráđádâllâm						
konfirmoida  	konfirmistiđ  konfirmistám      	konfirmistiđ	konfirmoida					konfirmistám		
kongruenssi  	koŋruens        	koŋruens	kongruenssi							
kongruoida  	koŋruistiđ  koŋruist      	koŋruistiđ	kongruoida					koŋruist		
konkelo  	kuál'ŋánâm muoRâ  muorâ;    (jäädä konkeloksi) kuál'ŋániđ  	kuál'ŋánâm 	konkelo		(jäädä konkeloksi) kuál'ŋániđ	muoRâ		muorâ;		
konkreettinen  	konkreetlâš  konkreetlii      	konkreetlâš	konkreettinen					konkreetlii		
konkurssi  	konkurssâ  konkuursâ      	konkurssâ	konkurssi					konkuursâ		
konna  	skelmâ  skeelmâ      	skelmâ	konna					skeelmâ		
konnanleinikki  Ranunculus sceleratus	skeelmâmieđâš  -miettâš ~ -mieđii      	skeelmâ	konnan			mieđâš	leinikki	-miettâš ~ -mieđii		Ranunculus sceleratus
konnanulpukka  Nuphar pumila	uccâstáálukaamuv  -kammuu      	uccâ	konnan			stáálukaamuv	ulpukka	-kammuu		Nuphar pumila
konsertti  	konsert        	konsert	konsertti							
konsonantti  	konsonanttâ  konsonaantâ,  konsonant    	konsonanttâ	konsonantti	konsonant				konsonaantâ,		
konstailla  	konstušiđ        	konstušiđ	konstailla							
konsti  	konstâ  koonstâ,  konccâ kooncâ, utke u'đhe    	konstâ	konsti	konccâ kooncâ, utke u'đhe				koonstâ,		
konstikas  	ko'ncâlâš  ko'ncâlii      	ko'ncâlâš	konstikas					ko'ncâlii		
konsulaatti  	konsulvirgádâh  -virgáduv      	konsul	konsulaatti			virgádâh		-virgáduv		
konsultti  	rävvejeijee,    konsult    	rävvejeijee,	konsultti	konsult						
kontallaan  (teuras)	ruubâi        	ruubâi	kontallaan							(teuras)
kontata  	kuán'ttuđ  kuántum konttum,  peeHiđ piäVám, ruot'tâđ ruotâm; (vähän) ruo'tâstiđ ruottâst;  (lähteä konttaamaan) ruo'tâstiđ ruottâst, ruo'tâstittiđ ruo'tâstitám  	kuán'ttuđ	kontata	peeHiđ piäVám, ruot'tâđ ruotâm; (vähän) ruo'tâstiđ ruottâst;	(lähteä konttaamaan) ruo'tâstiđ ruottâst, ruo'tâstittiđ ruo'tâstitám			kuántum konttum,		
